hex_id,h3_index,effective_start_date,effective_end_date,jp_district,boundary_vintage,assignment_method,assignment_status,boundary_source_url
2244,89489e24373ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2245,89489e24377ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2246,89489e2437bffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2247,89489e24383ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2248,89489e24387ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2249,89489e2438bffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2250,89489e2438fffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2251,89489e24393ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2252,89489e24397ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2253,89489e2439bffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2254,89489e243a3ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2255,89489e243a7ffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
2256,89489e243abffff,2012-01-01,2021-12-31,JP1,2012-2021,hex_point_on_surface,assigned,https://gis.wilco.org/arcgis/rest/services/public/county_historical_administrative_boundaries/MapServer/0/query?where=1%3D1&outFields=PCT_NUMBER&returnGeometry=true&outSR=4326&f=geojson
